key,xValue,value
Portugal,1900,65154
Portugal,1910,82489
Portugal,1920,44829
Portugal,1930,3518
Portugal,1940,6765
Portugal,1950,13928
Portugal,1960,70568
Portugal,1970,104754
Portugal,1980,42685
Portugal,1990,25497
Portugal,2000,11479
Portugal,2010,759
Portugal,2011,878
Portugal,2012,837
Portugal,2013,917
Portugal,2014,920
Portugal,2015,869
Romania,1820,0
Romania,1830,0
Romania,1840,0
Romania,1850,0
Romania,1860,0
Romania,1870,0
Romania,1880,5842
Romania,1890,6808
Romania,1900,57322
Romania,1910,13566
Romania,1920,67810
Romania,1930,5264
Romania,1940,1254
Romania,1950,914
Romania,1960,2339
Romania,1970,10774
Romania,1980,24753
Romania,1990,48136
Romania,2000,52154
Romania,2010,3735
Romania,2011,3679
Romania,2012,3477
Romania,2013,3475
Romania,2014,3022
Romania,2015,3160
South Africa,1820,0
South Africa,1830,0
South Africa,1840,0
South Africa,1850,0
South Africa,1860,79
South Africa,1870,48
South Africa,1880,23
South Africa,1890,9
South Africa,1900,9
South Africa,1910,9
South Africa,1920,9
South Africa,1930,312
South Africa,1940,1022
South Africa,1950,2278
South Africa,1960,4360
South Africa,1970,10002
South Africa,1980,15505
South Africa,1990,21964
South Africa,2000,32221
South Africa,2010,2705
South Africa,2011,2754
South Africa,2012,2960
South Africa,2013,2693
South Africa,2014,2871
South Africa,2015,3298
Spain,1820,2866
Spain,1830,2016
Spain,1840,1917
Spain,1850,8803
Spain,1860,6970
Spain,1870,5571
Spain,1880,3999
Spain,1890,9189
Spain,1900,24818
Spain,1910,53262
Spain,1920,47109
Spain,1930,3669
Spain,1940,2774
Spain,1950,6880
Spain,1960,40793
Spain,1970,41718
Spain,1980,22783
Spain,1990,18443
Spain,2000,17695
Spain,2010,2040
Spain,2011,2319
Spain,2012,2316
Spain,2013,2970
Spain,2014,3341
Spain,2015,3707
Suriname,1820,0
Suriname,1830,0
Suriname,1840,0
Suriname,1850,0
Suriname,1860,0
Suriname,1870,0
Suriname,1880,0
Suriname,1890,0
Suriname,1900,0
Suriname,1910,0
Suriname,1920,0
Suriname,1930,33
Suriname,1940,130
Suriname,1950,299
Suriname,1960,612
Suriname,1970,714
Suriname,1980,1357
Suriname,1990,2285
Suriname,2000,2363
Suriname,2010,202
Suriname,2011,167
Suriname,2012,216
Suriname,2013,170
Suriname,2014,160
Suriname,2015,116
